manifest,result_file,profile,server_profile,repetition,benchmark_config_sha256,server_config_sha256,input_len,output_len,slo_ttft_ms,slo_tpot_ms,max_concurrency,completed,failed,error_rate,request_throughput,request_goodput,output_throughput,total_token_throughput,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,p95_e2el_ms,peak_memory_used_mib,mean_gpu_utilization_percent,max_temperature_c,mean_power_draw_w,mean_sm_clock_mhz,valid
artifacts/env/20260802T043354Z-e02_bt8192_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_medium_c4/e02_bt8192_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-123754.json,e02_bt8192_medium_c4,e02_batch_tokens_8192_bf16,2,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,512,256,1000.0,50.0,4,100,0,0.0,1.27363364395101,1.27363364395101,326.0502128514586,978.1506385543759,195.3199899980973,199.22029454992298,200.008282108829,11.550466272548839,12.071830848042595,12.07739524313094,3147.966357599762,11127.0,90.87368421052632,64.0,154.4456842105263,2854.936842105263,True
artifacts/env/20260802T043354Z-e02_bt8192_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_medium_c4/e02_bt8192_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-124002.json,e02_bt8192_medium_c4,e02_batch_tokens_8192_bf16,3,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,512,256,1000.0,50.0,4,100,0,0.0,1.2730841258717398,1.2730841258717398,325.9095362231654,977.7286086694961,194.76805700105615,200.79181660112226,202.413161869772,11.558691925493608,12.048374214308769,12.056735162043575,3146.9345033470745,11127.0,90.93684210526315,64.0,154.54631578947368,2857.1473684210528,True
artifacts/env/20260802T044032Z-e02_bt8192_long_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_long_c4/e02_bt8192_long_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-124244.json,e02_bt8192_long_c4,e02_batch_tokens_8192_bf16,1,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,2048,256,1000.0,50.0,4,100,0,0.0,1.0356028179802697,1.0356028179802697,265.11432140294903,2386.028892626541,602.30525049883,794.9270862985941,803.51697286751,12.77151161961157,14.284518942547626,14.296130524115213,3869.37332139878,11301.0,91.57894736842105,65.0,168.1719298245614,2849.964912280702,True
artifacts/env/20260802T044032Z-e02_bt8192_long_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_long_c4/e02_bt8192_long_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-124512.json,e02_bt8192_long_c4,e02_batch_tokens_8192_bf16,2,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,2048,256,1000.0,50.0,4,100,0,0.0,1.0357192912431423,1.0357192912431423,265.14413855824444,2386.2972470242,601.984259999881,797.5381734522671,806.0928656514808,12.766729017647437,14.27823319569,14.293190358386244,3869.416236751931,11561.0,91.75652173913043,65.0,167.86704347826085,2851.1391304347826,True
artifacts/env/20260802T044032Z-e02_bt8192_long_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_long_c4/e02_bt8192_long_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-124741.json,e02_bt8192_long_c4,e02_batch_tokens_8192_bf16,3,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,2048,256,1000.0,50.0,4,100,0,0.0,1.0355846326504594,1.0355846326504594,265.1096659585176,2385.9869936266587,783.5558705010044,794.7082020493326,797.4919709084861,12.068948319603235,14.283716847841038,14.29062462993441,3865.434095249293,11561.0,91.72173913043478,65.0,167.2251304347826,2851.6608695652176,True
artifacts/env/20260802T044811Z-e02_bt8192_long_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_long_c8/e02_bt8192_long_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-124945.json,e02_bt8192_long_c8,e02_batch_tokens_8192_bf16,1,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,2048,256,1000.0,50.0,8,100,0,0.0,1.6345808624624136,0.7519071967327102,418.4527007903779,3766.074307113401,1000.1730794992909,1583.5572862491972,1589.8478724100278,14.794519892151868,17.8260210639279,17.84787126973699,4784.727154148277,11682.0,87.73076923076923,64.0,175.41256410256412,2835.3333333333335,True
artifacts/env/20260802T044811Z-e02_bt8192_long_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_long_c8/e02_bt8192_long_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-125135.json,e02_bt8192_long_c8,e02_batch_tokens_8192_bf16,2,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,2048,256,1000.0,50.0,8,100,0,0.0,1.6334991533531031,0.5880596952071171,418.1757832583944,3763.5820493255496,1003.1335269995907,1399.8169490501823,1592.2711285877813,14.059795737250846,17.823535879609814,17.910557303296326,4802.074712048852,11682.0,88.53246753246754,64.0,175.34467532467534,2834.753246753247,True
artifacts/env/20260802T044811Z-e02_bt8192_long_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt8192/e02_bt8192_long_c8/e02_bt8192_long_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-125326.json,e02_bt8192_long_c8,e02_batch_tokens_8192_bf16,3,06ec499cfc89746e67875adbcec8d36063f37dbe9d8fd280b0ff071d5cb7ab9d,4d50b16e36cf1bfb4161410c097cfb8fad69a859c78682dddf0eea02176ea7d0,2048,256,1000.0,50.0,8,100,0,0.0,1.6278165263011304,0.4883449578903391,416.7210307330894,3750.4892765978043,1002.9403695007204,1583.65043749709,1584.8765961913887,14.797333921566914,17.841757494505003,18.059344538471233,4940.777033550876,11682.0,88.78205128205128,64.0,174.6896153846154,2834.1794871794873,True
artifacts/env/20260802T050323Z-e02_bt2048_medium_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_medium_c8/e02_bt2048_medium_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-130438.json,e02_bt2048_medium_c8,e02_batch_tokens_2048_bf16,1,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,512,256,1000.0,50.0,8,100,0,0.0,2.275429263372268,2.275429263372268,582.5098914233006,1747.5296742699018,250.30434300060733,391.4743596007611,396.166164979295,11.987490676470129,13.025898126275113,13.030929464894216,3402.8004122987113,10806.0,85.98305084745763,65.0,156.32186440677967,2832.0169491525426,True
artifacts/env/20260802T050323Z-e02_bt2048_medium_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e02_batch_tokens/bt2048/e02_bt2048_medium_c8/e02_bt2048_medium_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-130609.json,e02_bt2048_medium_c8,e02_batch_tokens_2048_bf16,2,da8a63d57f8437b82b3a8f45e6769e63959cb5754ee023298d74207370e4135f,5f49bc24622e954505411fd4944e79e25c1ba1c80a8710c79b69c551e4015163,512,256,1000.0,50.0,8,100,0,0.0,2.2762368033422904,2.2762368033422904,582.7166216556263,1748.149864966879,244.93183350023173,380.21209100170375,391.02354434056906,11.996531039211035,13.019840391576759,13.029017202904665,3403.204771251694,10806.0,86.35593220338983,63.0,154.53355932203388,2838.3728813559323,True
