input_len,output_len,max_concurrency,budget,runs,request_goodput,output_throughput,p95_ttft_ms,p95_tpot_ms,peak_memory_used_mib,mean_gpu_utilization_percent,max_temperature_c,mean_power_draw_w,mean_sm_clock_mhz,evidence_status,slo_status,output_throughput_delta_percent,p95_ttft_delta_percent,p95_tpot_delta_percent,request_goodput_delta_percent,peak_vram_delta_mib
128,128,4,2048,3,2.634363856106795,337.19857358166973,71.53500199856353,11.669845351951968,10804.0,83.4,57.0,140.2022,2834.48,VALID,PASS,0.049148862821630925,2.835089812434165,-0.2690608793454417,0.049148862821630925,-323.0
128,128,4,4096,3,2.5913411170209053,331.6916629786759,72.3561720000248,11.874941512204613,11237.0,82.88235294117646,61.0,137.02039215686275,2828.0196078431372,VALID,PASS,-1.5847895991384988,4.015562147547009,1.4836986521778393,-1.5847895991384988,110.0
128,128,4,8192,3,2.6330697322760805,337.0329257313383,69.56283320123475,11.70132905079113,11127.0,83.68,58.0,139.9838,2838.08,VALID,PASS,0.0,0.0,0.0,0.0,0.0
128,128,4,16384,3,2.5889866809496045,331.3902951615494,73.98301459996333,11.87953285118121,10561.0,83.62,60.0,137.9506,2830.372549019608,VALID,PASS,-1.6742075147538817,6.354228537445645,1.5229364084760186,-1.6742075147538817,-566.0
128,128,8,2048,3,4.909258480309519,628.3850854796184,114.68130130288046,12.033870453926758,10804.0,75.87096774193549,57.0,133.84548387096774,2806.0967741935483,VALID,PASS,0.03406831961808812,3.151311884552616,-0.27767945691725704,0.03406831961808812,-323.0
128,128,8,4096,3,4.817244387079317,616.6072815461525,124.39550725006256,12.283205961417538,11237.0,75.12903225806451,62.0,131.1815625,2797.3870967741937,VALID,PASS,-1.8408674014233128,11.888857377885707,1.7885149147077395,-1.8408674014233128,110.0
128,128,8,8192,3,4.907586548038799,628.1710781489662,111.17774384802033,12.067379086638683,11127.0,75.6774193548387,58.0,134.2106451612903,2808.516129032258,VALID,PASS,0.0,0.0,0.0,0.0,0.0
128,128,8,16384,3,4.82584780023031,617.7085184294797,114.9014162000924,12.275254907086987,10561.0,75.90625,61.0,131.4875,2799.96875,VALID,PASS,-1.6655589668847208,3.3492965616952275,1.7226260893591219,-1.6655589668847208,-566.0
512,256,4,2048,3,1.2722290734384192,325.6906428002353,200.78388354977506,12.06417359059189,10807.0,90.21052631578948,63.0,154.4284210526316,2858.2526315789473,VALID,PASS,-0.06716385947669642,-0.003950883796707647,0.09051785143027881,-0.06716385947669642,-320.0
512,256,4,4096,3,1.2525561147331077,320.65436537167557,199.12347980000504,12.279957587254469,11237.0,90.86458333333333,69.0,151.38343749999999,2850.8229166666665,VALID,PASS,-1.6124630510631524,-0.8308788820967796,1.880771598015264,-1.6124630510631524,110.0
