manifest,result_file,profile,server_profile,repetition,benchmark_config_sha256,server_config_sha256,input_len,output_len,slo_ttft_ms,slo_tpot_ms,max_concurrency,completed,failed,error_rate,request_throughput,request_goodput,output_throughput,total_token_throughput,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,p95_e2el_ms,peak_memory_used_mib,mean_gpu_utilization_percent,max_temperature_c,mean_power_draw_w,valid
artifacts/env/20260802T005514Z-e01_baseline_short_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_short_c16/e01_baseline_short_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-085701.json,e01_baseline_short_c16,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,128,128,1000.0,50.0,16,100,0,0.0,4.930453026442474,0.3944362421153979,631.0979873846367,1262.1959747692733,1662.315164499887,1673.6979205497846,1674.9452884099446,11.521936122045284,12.090592963778457,12.094681936931254,3139.9141590505224,11333.0,75.48387096774194,57.0,135.03451612903226,True
artifacts/env/20260802T005514Z-e01_baseline_short_c16.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_short_c16/e01_baseline_short_c16-infqps-concurrency16-Qwen2.5-3B-Instruct-20260802-085803.json,e01_baseline_short_c16,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,128,128,1000.0,50.0,16,100,0,0.0,4.923425317135064,0.3938740253708051,630.1984405932882,1260.3968811865764,1663.0311440003425,1693.435303049955,1693.6003331896063,11.520333708660015,12.08831048504259,12.105821968425516,3156.3911036494574,11333.0,75.87096774193549,56.0,133.89612903225805,True
artifacts/env/20260802T005833Z-e01_baseline_medium_c1.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c1/e01_baseline_medium_c1-infqps-concurrency1-Qwen2.5-3B-Instruct-20260802-090409.json,e01_baseline_medium_c1,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,1,100,0,0.0,0.35247434619386936,0.35247434619386936,90.23343262563056,270.7002978768916,54.005218999918725,56.81552480032223,60.32409088007626,10.899158049018938,10.960487519412744,11.140618068000334,2848.9616320495315,11335.0,95.61093247588424,63.0,183.75665594855306,True
artifacts/env/20260802T005833Z-e01_baseline_medium_c1.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c1/e01_baseline_medium_c1-infqps-concurrency1-Qwen2.5-3B-Instruct-20260802-091001.json,e01_baseline_medium_c1,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,1,100,0,0.0,0.3529184569920014,0.3529184569920014,90.34712498995236,271.0413749698571,53.68241900077919,56.06836429969917,61.56628953030124,10.898722400001063,10.905423659998952,10.912059804743537,2835.837186799563,11321.0,95.67524115755627,62.0,183.4089389067524,True
artifacts/env/20260802T005833Z-e01_baseline_medium_c1.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c1/e01_baseline_medium_c1-infqps-concurrency1-Qwen2.5-3B-Instruct-20260802-091553.json,e01_baseline_medium_c1,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,1,100,0,0.0,0.35290828554293036,0.35290828554293036,90.34452109899017,271.0335632969705,53.81071149986383,55.06684709898764,57.24184811984743,10.899613521567018,10.905374089409937,10.910816215294771,2835.716514350952,11321.0,95.61736334405144,58.0,183.44996784565916,True
artifacts/env/20260802T011623Z-e01_baseline_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c4/e01_baseline_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-091814.json,e01_baseline_medium_c4,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,4,100,0,0.0,1.274436421302688,1.274436421302688,326.2557238534881,978.7671715604642,195.71034849923308,197.39328544928867,204.27336880873554,11.5390595274506,12.059334490982735,12.063388739762754,3140.3909361987644,11387.0,90.89473684210526,64.0,155.2642105263158,True
artifacts/env/20260802T011623Z-e01_baseline_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c4/e01_baseline_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-092022.json,e01_baseline_medium_c4,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,4,100,0,0.0,1.271715637518417,1.271715637518417,325.5592032047148,976.6776096141443,195.83699999930104,201.5040605507238,202.3140469900136,11.593646921570395,12.100992940000188,12.14675833168725,3163.2809186002305,11387.0,90.9578947368421,61.0,154.22947368421052,True
artifacts/env/20260802T011623Z-e01_baseline_medium_c4.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c4/e01_baseline_medium_c4-infqps-concurrency4-Qwen2.5-3B-Instruct-20260802-092230.json,e01_baseline_medium_c4,baseline_bf16,3,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,4,100,0,0.0,1.2735742605151439,1.2735742605151439,326.03501069187683,978.1050320756304,195.47567649988196,201.1396745005186,202.436264119915,11.544533386276111,12.05374583216112,12.056861150584155,3145.911110400448,11459.0,91.03157894736842,64.0,154.45147368421053,True
artifacts/env/20260802T012300Z-e01_baseline_medium_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c8/e01_baseline_medium_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-092414.json,e01_baseline_medium_c8,baseline_bf16,1,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,8,100,0,0.0,2.2808057260713905,2.2808057260713905,583.886265874276,1751.658797622828,382.00982499984093,390.82018240014804,391.78220101010083,11.78497554902053,13.025665430196373,13.063420576749623,3400.3207883009964,11647.0,86.39655172413794,64.0,155.08379310344827,True
artifacts/env/20260802T012300Z-e01_baseline_medium_c8.json,/home/user/projects/QwenServe-12G/artifacts/results/e01_baseline_matrix/e01_baseline_medium_c8/e01_baseline_medium_c8-infqps-concurrency8-Qwen2.5-3B-Instruct-20260802-092544.json,e01_baseline_medium_c8,baseline_bf16,2,4b586c6623e9471a6e8350197a023bad6e682473304d4884b95950b43b52c530,191eb169b3ead036934509b780f7e1edc1a271008d5ebb4ad3ee35f1973aa826,512,256,1000.0,50.0,8,100,0,0.0,2.2781601879294944,2.2781601879294944,583.2090081099506,1749.6270243298516,385.71995999973296,389.0041216002828,389.93738221020976,11.803973684315375,13.025354379606856,13.0320068230999,3399.511235600403,11647.0,86.13559322033899,63.0,154.49576271186442,True
