profile,evidence,trace_parity,offered_rate_rps,offered_headroom_percent,unbounded_goodput,fixed_goodput,deadline_goodput,best_baseline_goodput,deadline_goodput_gain_percent,unbounded_p95_ttft_ms,fixed_p95_ttft_ms,deadline_p95_ttft_ms,unbounded_p95_tpot_ms,fixed_p95_tpot_ms,deadline_p95_tpot_ms,deadline_p95_queue_wait_ms,unbounded_fairness_jain,fixed_fairness_jain,deadline_fairness_jain,offered_headroom_gate,deadline_absolute_slo,deadline_fairness,gate_scope,scientific_gate
holdout_nominal,VALID,PASS,1.0055555555555555,0.0,1.0055555555555555,0.8611111111111112,1.0055555555555555,1.0055555555555555,0.0,239.23728120005308,238.82574730014312,240.51698599997735,13.444249176093702,13.209454779527595,13.436433430708497,0.16159590018105519,1.0,0.9992192634682994,1.0,FAIL,PASS,PASS,DIAGNOSTIC,NOT_APPLICABLE
holdout_periodic_burst,VALID,PASS,2.0722222222222224,45.70312500000001,1.4222222222222223,1.05,1.6888888888888889,1.4222222222222223,18.749999999999993,2440.9365257996346,240.30988349977633,723.3704630005378,15.346563029133115,13.28133538311171,14.682813611021835,639.6986330004441,0.9997984244795374,0.9988896027007585,0.9973123920717745,PASS,PASS,PASS,GATED_BURST,PASS
holdout_shock_burst,VALID,PASS,2.0944444444444446,56.43153526970956,1.3388888888888888,0.9944444444444445,1.5722222222222222,1.3388888888888888,17.427385892116188,3120.405202800975,240.380002499478,739.2459374999369,15.363140743308367,13.312888476468252,14.284237110236216,660.670993399799,0.9994997773755228,0.9959242656759402,0.9977666976191643,PASS,PASS,PASS,GATED_BURST,PASS
