condition,max_concurrency,input_len,output_len,prefix_len,suffix_len,num_prefixes,nominal_reuse_percent,runs_per_cell,bt8192_off_p95_ttft_ms,bt8192_off_p95_tpot_ms,bt8192_off_output_throughput,bt8192_off_request_goodput,bt8192_off_peak_vram_mib,bt2048_off_p95_ttft_ms,bt2048_off_p95_tpot_ms,bt2048_off_output_throughput,bt2048_off_request_goodput,bt2048_off_peak_vram_mib,bt8192_on_p95_ttft_ms,bt8192_on_p95_tpot_ms,bt8192_on_output_throughput,bt8192_on_request_goodput,bt8192_on_peak_vram_mib,bt2048_on_p95_ttft_ms,bt2048_on_p95_tpot_ms,bt2048_on_output_throughput,bt2048_on_request_goodput,bt2048_on_peak_vram_mib,bt8192_on_hit_rate_percent,bt2048_on_hit_rate_percent,combined_vs_baseline_ttft_percent,combined_vs_baseline_throughput_percent,combined_vs_baseline_goodput_percent,combined_vs_best_single_ttft_percent,combined_vs_best_single_tpot_percent,combined_vs_best_single_throughput_percent,combined_vs_best_single_goodput_percent,apc_effect_bt8192_ttft_percent,apc_effect_bt2048_ttft_percent,ttft_interaction_percentage_points,apc_effect_bt8192_throughput_percent,apc_effect_bt2048_throughput_percent,throughput_interaction_percentage_points,bt2048_off_output_matches_control,bt8192_on_output_matches_control,bt2048_on_output_matches_control,evidence,combined_slo,decision
capacity_reuse90_p1792,8,2048,256,1792,256,10,90.0,3,1513.2338825998659,16.557268697451097,447.7072431849277,1.0175665713601014,11077.0,845.6417539002356,16.5191864807844,447.5375128109687,1.6782656730411325,10785.0,670.2342406997559,12.824313114704315,618.1137834846312,2.4145069667368406,10846.0,597.9658202495551,12.953762865088756,618.7660066712729,2.4170547135596596,10837.0,78.94378078907039,78.94378078907039,-60.4842432405625,38.207727502788806,137.53283387925885,-10.782561686903547,1.009408841055303,0.10551830489278842,0.10551830489278842,-55.70848310981275,-29.28851756767677,26.419965542135976,38.0620467713354,38.2601433307397,0.1980965594042985,0/3,0/3,0/3,VALID,PASS,STACKED_BENEFIT
reuse0_p1024,4,2048,256,1024,1024,100,0.0,3,776.9883509499095,13.280024258039445,287.74748385587293,1.1240136088120036,10733.0,628.4548033999499,13.039323295096723,287.1488756257434,1.1216752954130602,10785.0,761.2752371493116,13.06786234823377,288.8710380348886,1.1284024923237836,10842.0,630.511141799434,13.011822349214045,288.1079628089069,1.1254217297222926,10837.0,0.9823496139733431,0.9823496139733431,-18.85191830371709,0.1252761442788263,0.1252761442788263,0.32720545508749815,-0.21090776921698148,-0.26415774705996925,-0.26415774705996925,-2.0223100875821176,0.32720545508749815,2.3495155426696157,0.3904653357728232,0.33400346112220897,-0.05646187465061425,0/3,0/3,0/3,VALID,PASS,NO_STACKED_BENEFIT
reuse50_p1024,4,2048,256,1024,1024,50,50.0,3,768.9798770999118,13.071657470196202,288.19731563803293,1.1257707642110661,10733.0,755.2797876499881,12.99704235882125,286.99885032570035,1.121089259084767,10785.0,755.2110927490503,13.055344730781536,298.5418165053805,1.1661789707241426,10842.0,577.3581214496517,13.0001325931331,299.3853887649473,1.1694741748630755,10837.0,19.267602910251142,20.25766841507336,-24.918955795427557,3.8820879029165796,3.8820879029165796,-23.550100496007616,0.023776442566972186,0.28256418797251587,0.28256418797251587,-1.7905259631485264,-23.557053837483192,-21.766527874334667,3.589381408513861,4.315884340717786,0.7265029322039251,0/3,0/3,0/3,VALID,PASS,STACKED_BENEFIT
reuse90_p1024,4,2048,256,1024,1024,10,90.0,3,767.0278966500803,13.064576698431205,288.66664100203735,1.1276040664142084,10733.0,581.4604257000383,13.008833896863543,289.26721481293885,1.1299500578630424,10785.0,485.15338919942224,12.005519326666056,319.6659564877247,1.2486951425301747,10582.0,466.81574165004344,12.59159166745032,317.67184523844753,1.2409056454626857,10824.0,45.536819306930695,45.536819306930695,-39.13966575546786,10.047993123045163,10.047993123045163,-3.7797628456515047,4.881690869319664,-0.6238109529044444,-0.6238109529044444,-36.74892512798003,-19.71667872529253,17.0322464026875,10.73879384818441,9.819512537525961,-0.9192813106584481,0/3,0/3,0/3,VALID,PASS,NO_STACKED_BENEFIT
