condition,max_concurrency,input_len,output_len,prefix_len,suffix_len,num_prefixes,nominal_reuse_percent,runs_off,runs_on,actual_hit_rate_percent,actual_hit_rate_min_percent,actual_hit_rate_max_percent,off_p95_ttft_ms,on_p95_ttft_ms,p95_ttft_delta_percent,off_p95_tpot_ms,on_p95_tpot_ms,p95_tpot_delta_percent,off_output_throughput,on_output_throughput,output_throughput_delta_percent,off_request_goodput,on_request_goodput,request_goodput_delta_percent,off_peak_vram_mib,on_peak_vram_mib,output_match,evidence,on_slo,decision
capacity_reuse90_p1792,8,2048,256,1792,256,10,90.0,3,3,78.92869228909838,78.91169617217942,78.93604575273989,1407.1456126001067,631.6718274505533,-55.10970422717249,18.112376543337863,13.925038336861403,-23.118656993781723,412.0962690353179,554.181012272927,34.47853181738755,0.46681406971989986,2.0781787960234763,345.1834104465694,11725.0,11569.0,False,INCOMPLETE,UNKNOWN,UNKNOWN
reuse0_p1024,4,2048,256,1024,1024,100,0.0,3,3,0.9823543630650229,0.9823496139733431,0.9823638613861386,806.4279037993401,802.9852645002848,-0.42689982363407764,14.539681043136035,14.535971128428834,-0.02551579155137432,260.6413413986922,261.1612634002243,0.1994779487943188,1.0181302398386414,1.0201611851571262,0.1994779487943188,11293.0,11295.0,False,INCOMPLETE,UNKNOWN,UNKNOWN
reuse50_p1024,4,2048,256,1024,1024,50,50.0,3,3,18.78048662576806,18.301184433164128,20.04911724324638,804.2715467008748,800.8389221501147,-0.426799202935955,14.542396585686719,14.521490876468306,-0.14375697358569617,260.6168377470617,270.6289490250033,3.8416977830337693,1.0180345224494598,1.0571443321289191,3.8416977830337693,11369.0,11295.0,False,INCOMPLETE,UNKNOWN,UNKNOWN
reuse90_p1024,4,2048,256,1024,1024,10,90.0,3,3,45.52090887116268,45.5202486790136,45.52090887116268,804.8583993000193,610.0897960499879,-24.199114206849377,14.543750995293628,13.425920191371093,-7.685986952638742,260.6012687145385,286.5423485115273,9.954318305873075,1.017973705916166,1.1193060488731534,9.954318305873075,11250.0,11301.0,False,INCOMPLETE,UNKNOWN,UNKNOWN
reuse90_p1792,4,2048,256,1792,256,10,90.0,3,3,78.94416243654823,78.91943109632881,78.9515158254009,804.8116810505235,436.32699209956627,-45.78520635659424,14.538805220782153,13.158124246863235,-9.496522946365198,260.663734259143,309.23499996266804,18.633687513751784,1.0182177119497773,1.207949218604172,18.633687513751784,11381.0,11299.0,False,INCOMPLETE,UNKNOWN,UNKNOWN
reuse90_p256,4,2048,256,256,1792,10,90.0,3,3,12.113125453226976,12.105331857230567,12.113184013459094,807.9026119992704,734.7806932501043,-9.050833313710367,14.542044135292848,14.266180033137418,-1.8970104862075086,260.566395487825,266.88451386165116,2.424763316849652,1.0178374823743164,1.0425176322720748,2.424763316849652,11391.0,11295.0,False,INCOMPLETE,UNKNOWN,UNKNOWN
