workload,input_len,output_len,max_concurrency,base_runs,lora_runs,paired_seeds,base_output_throughput,lora_output_throughput,output_throughput_delta_percent,base_p95_ttft_ms,lora_p95_ttft_ms,p95_ttft_delta_percent,base_p95_tpot_ms,lora_p95_tpot_ms,p95_tpot_delta_percent,base_goodput,lora_goodput,base_peak_vram_mib,lora_peak_vram_mib,evidence,lora_slo,online_cost
medium,512,256,1,3,3,3,86.75160937090125,72.41560471944243,-16.525347201532714,58.940292350121126,74.86789629965642,27.023286302892867,11.42741505568683,13.655274321369742,19.49574120504377,0.338873474105083,0.282873455935322,10500.0,11048.0,VALID,PASS,FAIL
medium,512,256,4,3,3,3,311.23817327781103,271.45688725962594,-12.781621739784576,209.85056220005163,249.04066745039017,18.67524434505847,12.674045363725257,14.40241020372602,13.637041610625483,1.2157741143664493,1.0603784658579138,10468.0,11031.0,VALID,PASS,PASS
medium,512,256,8,3,3,3,554.3727991553732,484.3510875075853,-12.630798580751254,404.0308937002464,453.59699945006463,12.267899936036008,13.680374697059426,15.546013799997965,13.637339212204147,2.1655187467006765,1.891996435576505,10597.0,11134.0,VALID,PASS,PASS
short,128,128,1,3,3,3,88.2222803296756,73.37549972786492,-16.828833426579003,37.536735249943824,58.037306699998226,54.61468961951101,11.346507624016448,13.507137731890033,19.042247883395532,0.6892365650755906,0.5732460916239447,10472.0,11035.0,VALID,PASS,FAIL
short,128,128,4,3,3,3,322.93247363755074,279.5139142248028,-13.445089285594594,72.14453215012782,102.9862267003864,42.74987116983326,12.163589274410612,13.869977968502063,14.028660912460273,2.522909950293365,2.183702454881272,10472.0,11035.0,VALID,PASS,FAIL
short,128,128,8,3,3,3,599.7113540245357,518.5380360261257,-13.535397896616939,120.19043099990085,150.91707719989245,25.56496881188232,12.589515170080043,14.406030646848988,14.428796123031287,4.685244953316685,4.051078406454107,10500.0,11035.0,VALID,PASS,FAIL
